"","iphone","iphonedisunc","iphonedisneg","iphoneperpos","iphonedispos","iphonecampos","iphonecamunc","iphoneperneg","iphoneperunc","iphonesentiment.1","iphonesentiment"
"301",1,9,0,0,13,0,0,0,5,"5","6"
"302",0,0,0,0,0,0,0,0,0,"0","1"
"303",0,0,0,0,0,0,7,0,0,"0","1"
"304",41,4,0,0,0,0,0,0,0,"5","6"
"305",0,0,1,0,0,0,0,0,0,"0","1"
"306",1,0,0,0,0,0,0,0,0,"5","6"
"307",0,0,0,0,0,0,0,0,0,"0","1"
"308",1,0,0,0,0,0,0,0,0,"5","6"
"309",1,0,0,0,0,0,0,0,0,"5","6"
"310",1,0,0,0,0,0,0,0,0,"5","6"
"311",1,0,0,0,0,0,0,0,0,"5","6"
"312",1,0,0,0,0,0,0,0,0,"5","6"
"313",1,0,0,0,0,0,0,0,0,"5","6"
"314",0,0,0,0,0,0,0,0,0,"0","1"
"315",0,0,0,3,0,0,0,0,0,"0","1"
"316",1,0,0,0,0,0,0,0,0,"5","6"
"317",1,0,0,0,0,0,0,0,0,"5","6"
"318",1,0,0,0,0,0,0,0,0,"5","6"
"319",0,0,0,0,0,1,0,0,0,"0","1"
"320",0,0,10,5,0,1,1,0,0,"0","1"
"321",1,0,0,0,0,0,0,0,0,"5","6"
"322",0,0,0,3,0,0,0,0,0,"0","1"
"323",1,0,0,0,0,0,0,0,0,"5","6"
"324",1,0,0,0,0,0,0,0,0,"5","6"
"325",1,0,0,0,0,0,0,0,0,"5","6"
"326",0,0,0,3,0,0,0,0,0,"0","1"
"327",0,0,0,0,0,0,0,0,0,"0","1"
"328",0,0,0,0,0,0,0,0,0,"0","1"
"329",0,0,3,0,0,1,7,0,0,"0","1"
"330",1,1,0,0,1,0,0,0,1,"5","6"
"331",1,0,0,0,0,0,0,0,0,"5","6"
"332",0,0,0,0,2,0,0,0,0,"0","1"
"333",1,0,0,0,0,0,0,0,0,"5","6"
"334",1,0,0,0,0,0,0,0,0,"5","6"
"335",1,0,0,0,0,0,0,0,0,"5","6"
"336",0,0,0,0,0,0,0,0,0,"0","1"
"337",2,0,0,0,0,0,0,0,0,"5","6"
"338",1,0,0,0,0,0,0,0,0,"5","6"
"339",0,0,0,0,1,0,0,0,0,"0","1"
"340",1,0,0,0,0,0,0,0,0,"5","6"
"341",0,1,0,0,0,0,0,0,0,"0","1"
"342",0,0,0,8,0,0,0,0,0,"0","1"
"343",11,0,0,0,0,3,1,0,1,"5","6"
"344",0,0,3,0,0,0,0,0,0,"0","1"
"345",1,0,0,0,0,0,0,0,2,"5","6"
"346",2,0,0,0,0,1,0,0,0,"5","6"
"347",0,1,5,0,0,0,0,0,0,"0","1"
"348",0,0,0,1,0,0,0,0,0,"0","1"
"349",2,2,0,0,2,0,0,0,2,"5","6"
"350",41,4,0,0,0,0,0,0,0,"5","6"
"351",0,0,0,0,1,0,0,0,0,"0","1"
"352",1,0,0,0,0,0,0,0,0,"5","6"
"353",0,0,0,0,2,0,0,0,0,"0","1"
"354",0,1,5,0,0,0,0,0,0,"0","1"
"355",0,0,0,0,3,0,0,0,0,"0","1"
"356",1,2,0,0,0,0,0,0,0,"3","4"
"357",1,0,0,0,0,0,0,0,0,"5","6"
"358",0,0,0,0,0,0,0,0,0,"0","1"
"359",0,0,0,0,0,0,0,0,0,"0","1"
"360",0,0,0,0,0,0,0,0,0,"0","1"
"361",1,9,0,0,0,0,0,0,5,"5","6"
"362",0,0,0,0,0,0,0,0,0,"0","1"
"363",1,0,0,0,0,0,0,0,0,"5","6"
"364",0,0,10,5,0,1,1,0,0,"0","1"
"365",1,2,0,0,0,0,0,0,0,"3","4"
"366",7,0,0,0,0,0,0,0,0,"5","6"
"367",1,0,0,0,0,0,0,0,0,"5","6"
"368",0,0,0,0,0,0,0,0,0,"0","1"
"369",0,0,0,0,0,1,1,0,0,"0","1"
"370",0,0,0,1,0,0,0,0,0,"0","1"
"371",1,0,0,0,1,0,0,0,0,"3","4"
"372",0,0,0,0,0,0,0,0,0,"0","1"
"373",4,0,0,0,0,0,0,0,0,"5","6"
"374",1,0,0,0,1,0,0,0,0,"3","4"
"375",41,4,0,0,0,0,0,0,0,"5","6"
"376",0,0,3,0,0,1,7,0,0,"0","1"
"377",0,0,0,0,0,1,7,0,0,"0","1"
"378",0,0,0,1,0,0,0,0,0,"0","1"
"379",2,4,0,0,0,0,0,0,0,"3","4"
"380",1,0,0,0,0,0,0,0,0,"5","6"
"381",0,0,0,0,0,0,0,0,0,"0","1"
"382",0,0,0,3,0,0,0,5,0,"0","1"
"383",0,0,0,0,0,0,0,0,0,"0","1"
"384",0,1,5,0,0,0,0,5,0,"0","1"
"385",0,0,0,0,1,0,0,0,0,"0","1"
"386",1,1,0,0,0,0,0,0,0,"3","4"
"387",0,0,2,0,0,0,0,0,0,"0","1"
"388",1,0,0,0,0,0,0,0,0,"5","6"
"389",1,0,0,0,0,0,0,0,0,"5","6"
"390",4,0,0,0,0,0,0,0,0,"5","6"
"391",0,0,0,0,0,0,2,0,0,"0","1"
"392",0,4,0,0,0,0,0,0,0,"0","1"
"393",0,0,1,0,0,0,0,0,0,"0","1"
"394",0,0,0,0,0,2,1,0,0,"0","1"
"395",0,0,0,0,0,0,0,0,0,"0","1"
"396",1,9,0,0,0,0,0,0,5,"5","6"
"397",0,0,0,0,0,0,0,0,0,"0","1"
"398",11,0,0,0,0,3,1,0,1,"5","6"
"399",0,0,0,0,0,0,0,0,0,"0","1"
"400",11,0,0,0,0,3,1,0,1,"5","6"
"401",0,0,0,0,1,0,0,0,0,"0","1"
"402",0,0,0,0,3,0,0,0,0,"0","1"
"403",41,0,0,0,1,0,0,0,0,"5","6"
"404",1,0,0,0,0,0,0,0,0,"5","6"
"405",0,0,0,0,0,0,0,0,0,"0","1"
"406",0,0,0,0,0,0,0,0,0,"0","1"
"407",1,0,0,0,0,0,0,0,0,"5","6"
"408",0,0,1,0,0,0,1,0,0,"0","1"
"409",0,0,0,0,0,0,0,1,0,"0","1"
"410",1,0,0,0,0,0,0,0,0,"5","6"
"411",1,1,0,0,0,0,0,0,0,"3","4"
"412",0,0,0,0,0,0,0,1,0,"0","1"
"413",0,0,0,0,1,0,0,0,0,"0","1"
"414",0,0,0,0,0,0,0,2,0,"0","1"
"415",0,0,1,0,0,0,0,0,0,"0","1"
"416",1,0,0,0,0,0,0,0,0,"5","6"
"417",0,0,0,0,0,0,0,2,0,"0","1"
"418",1,0,0,0,0,0,0,0,0,"5","6"
"419",1,0,0,0,0,0,0,0,0,"5","6"
"420",0,0,3,0,0,0,0,0,0,"0","1"
"421",0,0,5,3,0,0,0,5,0,"0","1"
"422",1,0,0,0,0,0,0,0,0,"5","6"
"423",0,0,0,1,0,0,0,0,0,"0","1"
"424",0,0,3,0,0,1,7,0,0,"0","1"
"425",1,0,0,0,0,0,0,0,0,"5","6"
"426",41,0,0,0,1,0,0,0,0,"5","6"
"427",0,0,0,0,0,0,0,2,0,"0","1"
"428",0,0,0,0,0,0,0,0,0,"0","1"
"429",1,0,0,0,0,0,0,0,0,"5","6"
"430",1,0,0,0,0,0,0,0,0,"5","6"
"431",2,0,0,0,0,0,0,0,0,"5","6"
"432",0,0,0,0,3,0,0,0,0,"0","1"
"433",0,0,0,0,0,0,1,0,0,"0","1"
"434",0,0,10,0,0,1,0,0,0,"0","1"
"435",1,0,0,0,0,0,0,0,0,"5","6"
"436",1,0,0,0,0,0,0,0,0,"5","6"
"437",0,0,0,0,1,0,0,0,0,"0","1"
"438",0,0,0,0,0,0,0,0,0,"0","1"
"439",0,3,0,0,0,3,0,0,1,"0","1"
"440",0,0,0,0,0,0,2,0,0,"0","1"
"441",0,0,1,0,0,0,0,0,0,"0","1"
"442",41,4,0,0,0,0,0,0,0,"5","6"
"443",0,0,0,0,0,0,0,0,0,"0","1"
"444",0,0,0,3,0,0,0,0,0,"0","1"
"445",1,0,0,0,0,0,0,0,0,"5","6"
"446",0,0,0,0,0,0,0,0,0,"0","1"
"447",0,0,3,0,0,1,7,0,0,"0","1"
"448",1,0,0,0,0,0,0,0,0,"5","6"
"449",10,2,0,0,0,0,0,0,0,"5","6"
"450",0,0,2,0,0,6,1,0,0,"0","1"
"451",0,0,2,0,0,0,1,0,0,"0","1"
"452",0,0,0,0,5,0,0,0,0,"0","1"
"453",0,0,0,0,0,0,0,0,0,"0","1"
"454",0,0,0,1,0,0,0,0,0,"0","1"
"455",1,0,0,0,1,0,0,0,0,"3","4"
"456",0,0,0,0,0,0,0,0,0,"0","1"
"457",0,0,0,2,0,0,0,0,0,"0","1"
"458",1,1,0,0,0,0,0,0,1,"5","6"
"459",0,0,0,0,0,0,0,1,0,"0","1"
"460",0,0,10,5,0,1,1,0,0,"0","1"
"461",0,0,0,0,0,0,0,2,0,"0","1"
"462",0,0,0,5,0,0,0,0,0,"0","1"
"463",1,0,0,0,0,0,0,0,0,"5","6"
"464",1,0,0,0,0,0,0,0,0,"5","6"
"465",0,0,0,0,0,0,0,0,0,"0","1"
"466",2,0,0,0,0,0,0,0,0,"5","6"
"467",1,1,0,0,1,0,0,0,1,"5","6"
"468",0,0,0,0,0,2,0,0,0,"0","1"
"469",1,0,0,0,0,0,0,0,0,"5","6"
"470",0,0,2,2,0,0,0,0,0,"0","1"
"471",0,0,0,4,0,0,0,0,0,"0","1"
"472",1,0,0,0,0,0,0,0,0,"5","6"
"473",1,0,0,0,0,0,0,0,0,"5","6"
"474",41,4,0,0,0,0,0,0,0,"5","6"
