"","iphonedisunc","iphonedisneg","iphoneperpos","iphonedispos","htcdispos","iphoneperneg","iphoneperunc","samsungperpos","samsungdispos","samsungdisneg","samsungperneg","galaxysentiment"
"364",0,10,5,0,0,0,0,0,0,0,0,"5"
"365",2,0,0,0,0,0,0,0,0,0,0,"3"
"366",0,0,0,0,0,0,0,0,0,0,0,"5"
"367",0,0,0,0,0,0,0,0,0,0,0,"5"
"368",0,0,0,0,0,0,0,0,0,0,0,"5"
"369",0,0,0,0,0,0,0,0,0,0,0,"5"
"370",0,0,1,0,0,0,0,0,0,0,0,"5"
"371",0,0,0,1,0,0,0,0,0,0,0,"3"
"372",0,0,0,0,0,0,0,0,0,0,0,"5"
"373",0,0,0,0,0,0,0,0,0,0,0,"5"
"374",0,0,0,1,0,0,0,0,0,0,0,"3"
"375",4,0,0,0,0,0,0,0,0,0,0,"3"
"376",0,3,0,0,0,0,0,0,0,0,0,"5"
"377",0,0,0,0,0,0,0,0,0,0,0,"5"
"378",0,0,1,0,0,0,0,0,0,0,0,"5"
"379",4,0,0,0,0,0,0,0,0,0,0,"3"
"380",0,0,0,0,0,0,0,0,0,0,0,"5"
"381",0,0,0,0,0,0,0,0,0,0,0,"5"
"382",0,0,3,0,0,5,0,3,0,0,5,"5"
"383",0,0,0,0,0,0,0,0,0,0,0,"5"
"384",1,5,0,0,0,5,0,0,0,5,5,"4"
"385",0,0,0,1,0,0,0,0,0,0,0,"3"
"386",1,0,0,0,0,0,0,0,0,0,0,"3"
"387",0,2,0,0,0,0,0,0,0,0,0,"5"
"388",0,0,0,0,0,0,0,0,0,0,0,"5"
"389",0,0,0,0,0,0,0,0,0,0,0,"5"
"390",0,0,0,0,0,0,0,0,0,0,0,"5"
"391",0,0,0,0,0,0,0,0,0,0,0,"0"
"392",4,0,0,0,0,0,0,0,0,0,0,"3"
"393",0,1,0,0,0,0,0,0,0,0,0,"5"
"394",0,0,0,0,0,0,0,0,0,0,0,"5"
"395",0,0,0,0,0,0,0,0,0,0,0,"5"
"396",9,0,0,0,0,0,5,0,0,0,0,"5"
"397",0,0,0,0,0,0,0,0,0,0,0,"5"
"398",0,0,0,0,0,0,1,0,0,0,0,"0"
"399",0,0,0,0,0,0,0,0,0,0,0,"5"
"400",0,0,0,0,0,0,1,0,0,0,0,"0"
"401",0,0,0,1,0,0,0,0,0,0,0,"3"
"402",0,0,0,3,3,0,0,0,3,0,0,"0"
"403",0,0,0,1,0,0,0,0,0,0,0,"3"
"404",0,0,0,0,0,0,0,0,0,0,0,"5"
"405",0,0,0,0,0,0,0,0,0,0,0,"5"
"406",0,0,0,0,0,0,0,0,0,0,0,"5"
"407",0,0,0,0,0,0,0,0,0,0,0,"5"
"408",0,1,0,0,0,0,0,0,0,0,0,"5"
"409",0,0,0,0,0,1,0,0,0,0,0,"5"
"410",0,0,0,0,0,0,0,0,0,0,0,"5"
"411",1,0,0,0,0,0,0,0,0,0,0,"3"
"412",0,0,0,0,0,1,0,0,0,0,0,"5"
"413",0,0,0,1,0,0,0,0,0,0,0,"3"
"414",0,0,0,0,0,2,0,0,0,0,0,"5"
"415",0,1,0,0,0,0,0,0,0,0,0,"5"
"416",0,0,0,0,0,0,0,0,0,0,0,"5"
"417",0,0,0,0,0,2,0,0,0,0,0,"5"
"418",0,0,0,0,0,0,0,0,0,0,0,"5"
"419",0,0,0,0,0,0,0,0,0,0,0,"5"
"420",0,3,0,0,0,0,0,0,0,0,0,"5"
"421",0,5,3,0,0,5,0,3,0,5,5,"5"
"422",0,0,0,0,0,0,0,0,0,0,0,"5"
"423",0,0,1,0,0,0,0,0,0,0,0,"5"
"424",0,3,0,0,0,0,0,0,0,0,0,"5"
"425",0,0,0,0,0,0,0,0,0,0,0,"5"
"426",0,0,0,1,0,0,0,0,0,0,0,"3"
"427",0,0,0,0,0,2,0,0,0,0,0,"5"
"428",0,0,0,0,0,0,0,0,0,0,0,"5"
"429",0,0,0,0,0,0,0,0,0,0,0,"5"
"430",0,0,0,0,0,0,0,0,0,0,0,"5"
"431",0,0,0,0,0,0,0,0,0,0,0,"5"
"432",0,0,0,3,3,0,0,0,3,0,0,"0"
"433",0,0,0,0,0,0,0,0,0,0,0,"5"
"434",0,10,0,0,0,0,0,0,0,0,0,"5"
"435",0,0,0,0,0,0,0,0,0,0,0,"5"
"436",0,0,0,0,0,0,0,0,0,0,0,"5"
"437",0,0,0,1,0,0,0,0,0,0,0,"3"
"438",0,0,0,0,0,0,0,0,0,0,0,"5"
"439",3,0,0,0,0,0,1,0,0,0,0,"0"
"440",0,0,0,0,0,0,0,0,0,0,0,"0"
"441",0,1,0,0,0,0,0,0,0,0,0,"5"
"442",4,0,0,0,0,0,0,0,0,0,0,"3"
"443",0,0,0,0,0,0,0,0,0,0,0,"5"
"444",0,0,3,0,0,0,0,3,0,0,0,"5"
"445",0,0,0,0,0,0,0,0,0,0,0,"5"
"446",0,0,0,0,0,0,0,0,0,0,0,"5"
"447",0,3,0,0,0,0,0,0,0,0,0,"5"
"448",0,0,0,0,0,0,0,0,0,0,0,"5"
"449",2,0,0,0,0,0,0,0,0,0,0,"3"
"450",0,2,0,0,0,0,0,0,0,0,0,"5"
"451",0,2,0,0,0,0,0,0,0,0,0,"5"
"452",0,0,0,5,0,0,0,0,0,0,0,"5"
"453",0,0,0,0,0,0,0,0,0,0,0,"5"
"454",0,0,1,0,0,0,0,0,0,0,0,"5"
"455",0,0,0,1,0,0,0,0,0,0,0,"3"
"456",0,0,0,0,0,0,0,0,0,0,0,"5"
"457",0,0,2,0,0,0,0,0,0,0,0,"5"
"458",1,0,0,0,0,0,1,0,0,0,0,"5"
"459",0,0,0,0,0,1,0,0,0,0,0,"5"
"460",0,10,5,0,0,0,0,0,0,0,0,"5"
"461",0,0,0,0,0,2,0,0,0,0,0,"5"
"462",0,0,5,0,0,0,0,0,0,0,0,"5"
"463",0,0,0,0,0,0,0,0,0,0,0,"5"
"464",0,0,0,0,0,0,0,0,0,0,0,"5"
"465",0,0,0,0,0,0,0,0,0,0,0,"5"
"466",0,0,0,0,0,0,0,0,0,0,0,"5"
